"cohort","tech","target","dated","med"
"<=2014","Solar",542,67,2.15
"<=2014","Wind",903,138,3.71
"<=2014","Solar+Battery",3,0,NA
"<=2014","Battery",1,0,NA
"<=2014","Gas",271,14,1.92
"<=2014","Other",364,31,3.18
"2015-18","Solar",675,91,3.06
"2015-18","Wind",153,42,2.14
"2015-18","Solar+Battery",128,10,1.98
"2015-18","Battery",29,3,1.33
"2015-18","Gas",29,3,3.13
"2015-18","Other",46,5,2.19
"2019-21","Solar",260,94,1.07
"2019-21","Wind",55,8,1.34
"2019-21","Solar+Battery",277,25,1.74
"2019-21","Battery",123,10,1.85
"2019-21","Gas",8,1,1.81
"2019-21","Other",47,3,2.35
"2022+","Solar",182,33,0.53
"2022+","Wind",108,7,0.4
"2022+","Solar+Battery",580,33,0.48
"2022+","Battery",319,10,0.35
"2022+","Gas",32,4,0.35
"2022+","Other",132,4,1.75
