"basis","comparison","test","statistic","p_raw","p_holm","verdict"
"dated records","technology mix (6 groups)","Pearson's Chi-squared test",129.04,3.80265711845823e-26,1.90132855922911e-25,"difference"
"dated records","queue cohort mix (4 bins)","Pearson's Chi-squared test",70.7,3.02966579061628e-15,9.08899737184883e-15,"difference"
"dated records","capacity (MW)","Wilcoxon rank sum test with continuity correction",1466743,0.800603673238602,0.800603673238602,"null"
"dated records","interconnection service type","Pearson's Chi-squared test",54.19,1.02429350890627e-11,2.04858701781253e-11,"difference"
"dated records","withdrawal rate","Pearson's Chi-squared test with Yates' continuity correction",101.95,5.69032770103575e-24,2.2761310804143e-23,"difference"
"reporting entities","technology mix (6 groups)","Pearson's Chi-squared test",120.19,2.86439554410309e-24,1.14575821764124e-23,"difference"
"reporting entities","queue cohort mix (4 bins)","Pearson's Chi-squared test",142.76,9.61794085117694e-31,4.80897042558847e-30,"difference"
"reporting entities","capacity (MW)","Wilcoxon rank sum test with continuity correction",1562007.5,0.0342317348019322,0.0684634696038644,"null"
"reporting entities","interconnection service type","Pearson's Chi-squared test",58.54,1.20785664357845e-12,3.62356993073535e-12,"difference"
"reporting entities","withdrawal rate","Pearson's Chi-squared test with Yates' continuity correction",0.16,0.693576827564387,0.693576827564387,"null"
