"entity","requests","withdrawn","wd_dated","wd_rate","dated_rate","reporting"
"PacifiCorp",2160,1627,97,75.3,6,FALSE
"BPA",998,611,0,61.2,0,FALSE
"IP",824,515,0,62.5,0,FALSE
"APS",619,426,0,68.8,0,FALSE
"NVE",505,263,0,52.1,0,FALSE
"NWMT",448,328,0,73.2,0,FALSE
"PSCo",408,295,286,72.3,96.9,TRUE
"PNM",356,224,133,62.9,59.4,TRUE
"WAPA-IS",273,194,0,71.1,0,FALSE
"Avista",173,117,71,67.6,60.7,TRUE
"SRP",155,105,0,67.7,0,FALSE
"PSE",142,86,0,60.6,0,FALSE
"TEP",120,84,0,70,0,FALSE
"PGE",114,51,0,44.7,0,FALSE
"LADWP",113,55,36,48.7,65.5,TRUE
"WAPA-RM",110,88,0,80,0,FALSE
"TSGT",104,14,0,13.5,0,FALSE
"EPE",66,30,14,45.5,46.7,TRUE
"PRPA",62,35,0,56.5,0,FALSE
"BHCT",51,32,0,62.7,0,FALSE
"SRP_ANPP",45,18,0,40,0,FALSE
"CLPT",40,13,0,32.5,0,FALSE
"WAPA-DSW",34,0,0,0,NA,FALSE
"IID",33,0,0,0,NA,FALSE
"SMUD",33,18,0,54.5,0,FALSE
"SRP_PV-PC",33,22,0,66.7,0,FALSE
"BHP",26,7,0,26.9,0,FALSE
"WAPA-SN",12,7,0,58.3,0,FALSE
"GrantPUD",9,3,0,33.3,0,FALSE
"CSU",8,0,0,0,NA,FALSE
"N-C",7,0,0,0,NA,FALSE
"SRP_SWV",5,3,0,60,0,FALSE
"WAPA-MPP",4,0,0,0,NA,FALSE
"CPUD",3,2,0,66.7,0,FALSE
"SRP_Gila",3,3,0,100,0,FALSE
"TPU",1,1,0,100,0,FALSE
